ts,f1,auc_pr,auc_roc,precision,recall,raw_f1,cfg,secs
1780441378,0.7745,0.8242,0.9319,0.7891,0.7604,0.7649,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 400, ""max_samples"": 512, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 142}",25.5
1780441452,0.7718,0.8322,0.9314,0.7748,0.7689,0.7637,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1200, ""max_samples"": 1024, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 160}",74.4
1780441475,0.7537,0.8116,0.9285,0.7398,0.7681,0.7478,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 400, ""max_samples"": 512, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 669}",22.5
1780441560,0.7879,0.8476,0.9338,0.8018,0.7745,0.7795,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1200, ""max_samples"": 2048, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 675}",84.9
1780441594,0.7915,0.8515,0.9352,0.8035,0.7799,0.7839,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 400, ""max_samples"": 2048, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 761}",34.1
1780441686,0.7745,0.8329,0.9317,0.776,0.773,0.7669,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1200, ""max_samples"": 1024, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 543}",92.4
1780441717,0.7679,0.8268,0.9316,0.7617,0.7742,0.7611,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 400, ""max_samples"": 1024, ""max_features"": 0.95, ""contamination"": 0.0172, ""seed"": 256}",30.7
1780441760,0.7817,0.8464,0.9331,0.7935,0.7702,0.7745,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 600, ""max_samples"": 2048, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 533}",43.5
1780441797,0.7887,0.8465,0.9338,0.8031,0.7748,0.7815,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 600, ""max_samples"": 2048, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 212}",36.5
1780441830,0.758,0.8003,0.9281,0.751,0.7651,0.7485,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 600, ""max_samples"": 512, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 790}",32.9
1780441871,0.7726,0.83,0.9309,0.7764,0.7688,0.7642,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 800, ""max_samples"": 1024, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 646}",41.3
1780441922,0.7472,0.768,0.9249,0.7179,0.779,0.7407,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1200, ""max_samples"": 256, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 144}",51.3
1780441993,0.7859,0.845,0.9336,0.798,0.7742,0.7781,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1200, ""max_samples"": 2048, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 975}",70.6
1780442069,0.7876,0.848,0.9341,0.8037,0.7721,0.78,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1200, ""max_samples"": 2048, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 652}",75.6
1780442106,0.7618,0.8153,0.9297,0.7539,0.7698,0.7538,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 800, ""max_samples"": 512, ""max_features"": 1.0, ""contamination"": 0.0172, ""seed"": 497}",37.5
1780442190,0.7708,0.83,0.9307,0.7774,0.7644,0.7636,"{""model"": ""if"", ""mode"": ""full"", ""n_estimators"": 1600, ""max_samples"": 1024, ""max_features"": 0.85, ""contamination"": 0.0172, ""seed"": 939}",84.3
